# names: 7036 rows -- regenerate with `make baseline`
AC1	sharp
Epidamnus	older name of Dyrrachium
Epidaphna	another name for Antioch on the Orontes
Epidaurum	colonial city of Dalmatia
Epidaurus	city in Argolis, on the Saronic Gulf
Epidicazomenos	title of a Greek comedy of Apollodorus
Epidicus	name of a comedy of Plautus
Epidius	Roman rhetorician, teacher of M. Antony and Augustus
Epigenes	Greek author
Epignomus	name of a character
Epigoni	After-born
Epimenides	famous Greek poet and prophet of Crete
Epimetheus	son of Iapetus and Clymene, the husband of Pandora
Epiphanes	son of Antiochus, king of Commagene
Epiphania1	city of Cilicia
Epiphania2	festival of the Epiphany, Cod
Epirus	province of Epirus, in the north of Greece
Epitrapezios	at table
Epitrepontes	title of a play of Menander
Epona	protecting goddess of horses, asses, etc
Eporedia	Roman colony in Gallia Cisalpina
Eporedorix	noble Aeduan
Epulo2	proper name
Epytus	distinguished Trojan
Equus Tuticus	town in Samnium, now S. Eleuterio
Er2	Pamphylian
Erana	town in Cilicia, near Mount Amanus
Erasinus1	river of Argolis, now Kephalari
Erasistratus	famous physician of Alexandria in the time of Ptolemy Lagus
Eratine	nymph, a daughter of Venus
Erato	muse of lyric and amorous poetry
Eratosthenes	celebrated geographer
Erebus	god of darkness, son of Chaos
Erechtheus	fabled king of Athens, father of Procris, Orithyia, Chthonia
Erembi	Troglodytes in Africa
Eretria	principal city on the island of Euboea
Eretum	ancient city of the Sabines, now Grotta Marozza
Ergetum	city of Sicily, now La Citadella
Erichtho	Thessalian witch consulted by Pompey
Erichthonius	son of Vulcan, king of Athens
Ericinium	city of Thessaly, in Perrhaebia
Eridanus	mythical and poetical name of the river Po
Erigone	daughter of Icarius
Erigonus	river of Macedonia, now Tzerna
Erillus	Stoic philosopher of Carthage
Erindes	river between Media and Hyrcanea
Erinna	famous Lesbian poetess, contemporary with Sappho
Erinys	one of the Furies
Eriphyla	daughter of Talaus
Eris	goddess of strife
Eriza	town of Magna Phrygia
Eros	Love as a person
Erotopaegnion	love song
Erucius	Roman proper name
Erymanthus	chain of mountains in Arcadia
Erysichthon	son of the Thessalian king Triopas
Erythea	small island in the Bay of Cadiz
Erythrae	city of Boeotia, near Mount Cithaeron
Erythras	fabulous king of southern Asia
Eryx	name of a high mountain in the northwestern angle
Esaias	Jewish prophet Isaian
Esquiliae	largest of the seven hills of Rome
Essedones	Scythian people on the river Tanais
Essui	Gallic tribe, perhaps identical with the Esubii and Sesuvii
Esubii	Gallic tribe west of the Sequana
Esus3	Gallic deity, to whom human blood was offered
Eteocles	son of Oedipus and Jocasta, brother of Polynices
Etereius	freedman of the Roman knight Corellius
Etruria	country of central Italy
Euadne	wife of Capaneus, one of the "Seven before Thebes
Euander	Son of Carmenta
Euboea	island in the Aegean Sea
Eubuleus	one of the Anaces or Dioscuri
Eubulidas	Greek proper name
Euchadia	Greek proper name
Euclides	Greek proper name, Euclid
Eudaemon	Greek appellation of the southern part of Arabia
Eudemus	Greek proper name
Eudoses	tribe of Germany, mentioned only
Eudoxus	Greek astrologer, a disciple of Plato
Euenus	king of Etolia, father of Marpessa
Euganei	people of northern Italy
Euhan	surname of Bacchus
Euhemerus	Greek poet and philosopher
Euhius	surname of Bacchus
Euhydrium	city of Thessaly
Eumaeus	swineherd of Ulysses in Homer
Eumedes	Trojan herald, father of Dolon
Eumelus	king of Patrae
Eumenes	famous general under Alexander the Great
Eumenides	Furies
Eumolpus	fabulous Thracian singer and priest of Ceres
Eupalium	city of western Locris
Eupator	surname of Mithridates, king of Pontus
Euphorbus	Son of Panthus, a brave Trojan
Euphorio	grammarian and poet
Euphranor	celebrated painter and sculptor, a contemporary of Praxiteles
Euphrates	wellknown river in Syria
Euphrosyne	one of the graces
Eupolemus	Greek proper name
Eupolis	celebrated comic poet in Athens, contemporary with Aristophanes
Euripides	celebrated Athenian tragic
Europa	Daughter of the Phoenician king Agenor, sister of Cadmus
Eurotas	principal river of Laconia
Euryalus1	hill near Syracuse
Euryalus2	friend of Nisus
Eurydamas	surname of Hector
Eurydica	name of a slave of Rhea Sylvia
Eurydice	wife of Orpheus
Eurylochus	only one of the companions of Ulysses
Eurymedon	river of Pamphylia
Eurymenae	city of Thessaly
Eurymus	seer, father of the seer Telemus
Eurynome	daughter of Oceanus and Tethys, mother of Leucothoe
Eurypylus	Son of Hercules and king of the island of Cos
Eurysthenes	son of Aristodemus, king of Sparta, brother of Procles
Eurystheus	son of Sthenelus and grandson of Perseus
Eurytus	King of Oechalia and father of Iole
Eusebes2	surname of Ariobarzanes
Eusebius	Latin rhetorician
Euterpe	muse of music
Eutrapelus	surname given to P. Volumnius
Eutropius	Roman historian in the middle of the fourth century
Euxinus	epithet of the Black Sea
Eva	Eve, the first woman, Tert
Exdemeticus	title of a satire by Varro
Exodus	name of the second book of Moses
Fabaris	small tributary of the Tiber in the country
Faberius	Roman family name
Fabius	Roman family name, concerning which see
Fabrateria	small town in Latium, situated on the Via Latina
Fabricius	Roman family name
Fabulinus	deity that helped children learning to talk
Fabullus	friend of Catullus, Plin
Facelinus	of or belonging to the Taurian Diana
Fadius	Roman family name
Faesulae	city of Etruria, now Fiesole
Fagutalis	of the beech-tree
Falacer	name of an Italian mythical hero
Falanius	Roman knight
Falcidius	Roman gentile name, So the tribunes of the people
Falcula2	Roman surname
Falerii	capital of the Falisci, a Tuscan people
Falernus	Falernian territory, famed for its wines, in Campania
Falisci	people of Etruria
Fannius	Roman family name
Fanum2	city in Umbria, on the Adriatic Sea
Fatuus2	another name for the prophesying Faunus
Faucius	Roman family name
Fauna	prophesying sister of Faunus, called also Bona Dea
Faunigena	descended from Faunus
Faunus	mythic son of Picus, grandson of Saturn
Faustina	wife of the emperor Antoninus Pius, Capit
Faustitas	happy condition, favorable circumstances, happiness
Faustulus	shepherd who brought up Romulus and Remus
Faustus2	surname of L. Cornelius Sulla
Faventia2	city of Gallia Cisalpina
Faveria	city of Istria
Favonius	west wind
Favorinus	celebrated Roman philosopher in the time of Trajan and Hadrian
Februarius	month of expiation
Felicitas2	Lisbon
Felix2	Roman surname of frequent occurrence
Fenectani	region in Latium
Fenicularius	Fennelfield, a place in Hispania Tarraconensis
Fenni	tribe in the north and northeastern parts of Europe
Ferentina	small river in the neighborhood of Alba Longa
Ferentinum	small solitary town of the Hernici, in Latium
Feretrius	surname of Jupiter, the subduer of enemies
Feronia	old Italian deity related to Tellus
Ferriterus	comic name given to a slave who is galled
Fescennia	ancient but small city of Etruria, on the Tiber
Fescenninicola	fond of Fescennine verses
Fessonia	goddess of weary persons
Festus2	Roman surname
Fibrenus	small river in Latium, near Arpinum
Ficana	small town of Latium, near Rome
Ficedulenses	sellers of small birds
Ficeliae	place on the Quirinal hill
Ficulea	small but very ancient town of the Sabines
Ficulneus	of the fig-tree
Fidenae	very ancient town of Latium
Fidentia2	small town in Gallia Cisalpina, between Parma and Placentia
Fidiculanius	Roman family name
Fidius	surname of Jupiter, in Dionys
Figulatus	made a Figulus of, Asin. ap
Figulus2	Roman surname in the gens Marcia and Nigidia
Fimbria2	Roman surname in the gens Flavia
Fimbriatus2	made a Fimbria of, Asin. ap
Firmicus	Roman mathematician in the time of Constantine the Great
Firmius	Roman proper name
Firmum	fortified sea-port of Picenum, now Fermo
Fiscellus2	chain of mountains in the Sabine territory
Flaccus2	Roman surname
Flamen3	surname in the gens Claudia
Flamininus	Roman surname in the gens Quintia
Flaminius2	Roman family name
Flamma2	Roman surname
Flamomenses	people of Italy
Flavina	small city of Etruria
Flavius	Roman family name
Flevo	Zuyder Zee
Flevum	fortress of the Frisii
Flora	goddess of flowers
Florentia	city of Etruria, situated on the river Arno
Florianus	Roman surname
Florus2	Roman surname
Flumentana	gate of Rome near the Tiber
Fluonia	surname of Juno, so
Folia	name of a witch of Ariminum
Fonteius	Roman family name
Forculus	deity who presides over the doors
Forentum	small town in Apulia, now Forenza
Formiae	very ancient city of Latium
Foruli2	ancient city of the Sabines, now Civita Tommasa
Fosi	Germanic tribe, a branch of the Cheruscans
Fovii	N. cr
Franci	Franks, a Germanic confederacy on the Rhine
Fraus2	deity
Fregellae	very old city of the Volsci, in Latium
Fregenae	small town of Etruria, near Alsium, now Maccarese
Frentani	mixed Italian tribe of Samnites and Illyrians who settled
Fresilia	city of the Marsi
Friniates	Ligurian people on the northern slope of the Apennines
Frisii	Frisians, a people of northern Germany
Frivolaria	title of a comedy of Plautus
Frontinus	Roman surname
Fronto2	proper name
Frusino	city of the Hernici, in Latium
Frutis	Etruscan name of Venus
Fucinus2	lake of Latium, in the territory of the Marsi
Fufidius	Roman family name
Fufius	Roman family name
Fulcinius	Roman family name
Fulfulae	city of the Samnites
Fulgentius	Roman mythographer and grammarian in the beginning
Fulginia	city of Umbria, between Perusia and Spoletium, now Foligno
Fulgora	goddess who presided over lightning, Sen. ap
Fulvius	Roman family name
Fundanius1	Roman family name
Fundi	sea-coast town of Latium, on the Appian Way
Fura	name of a goddess, otherwise unknown
Furina	goddess worshipped in ancient Rome, otherwise unknown
Furius	Roman family name
Furnius	Roman family name
Fuscinus2	friend of Juvenal to whom his fourteenth Satire is addressed
Fuscus2	Roman surname
Gabali	people in Aquitanian Gaul, now Gevaudan
Gabaon	city of Judea, Gibeon
Gabba	famous wit of the time of Tiberius
Gabii	ancient city of Latium founded by the Sicilians
Gabinius	Roman family name
Gades	famous colony of the Phoenicians established on an island
Gaetuli	people of northwestern Africa
Gaius	Roman proenomen
Gala	father of Masinissa
Galaesus	river of Magna Groecia, near Tarento, now Galeso
Galanthis	female attendant of Alcmene, changed by Lucina
Galatae	Celtic people who migrated into Phrygia, the Galatians
Galatea	seanymph
Galeotae	sort of interpreters of prodigies in Sicily
Galerius	Roman family name
Galilaea	province of Galilee in northern Palestine
Galla2	female Gaul
Galla3	priest of Cybele
Gallaeci	people in western Hispania Tarraconensis
Galli1	Gallic nation, the Gauls
Gallicus	Of or belonging to the Gauls
Gallina2	name of a gladiator
Gallius2	Roman family name
Gallograeci	Gauls who migrated into Phrygia, called also Galatae
Gallohispani	name for the Celtiberi
Gallonius	Roman family name
Gallus2	Gaul
Gallus3	tributary of the Sagaris of Phrygia and Bithynia
Gallus4	Roman surname in the gens Cornelia, Aquilia, Sulpicia, etc
Gamelio	seventh month of the Attic year
Gangaridae	Indian people near the Ganges, in the modern Bengal
Ganges	river Ganges, in India
Garamantes	powerful tribe of the interior of Africa
Garganus	mountain ridge in Apulia on which storms are frequent
Gargaphie	valley of Boevtia sacred to Diana
Gargara	upper part of Mount Ida, in Troas
Gargettius	philosopher Epicurus
Gargilius	Roman family name
Garites	people in Aquitanian Gaul, bordering on the Ausci
Garumna	river of Gaul, the Garonne
Garumni	people of Gaul situated along the Garonne
Gaugamela	village of Assyria
Gaurelios	harbor in the island of Andros
Gaurus	mountain in Campania, famous for its wine
Gavius	Roman family name
Gaza2	name of several cities
Gebenna	chain of mountains in Gaul, the Cevennes
Gedrosi	people of Asia, in the modern Mekran
Gedusanus ager	region in Asia otherwise unknown
Geidunni	people subject to the Nervii
Gela	city on the southern coast of Sicily
Gelduba	castle in Gallia Belgica, on the Rhine
Gellius	Roman family name
Gelo2	king of Syracuse, son of Hiero II
Gelon	fountain in Phrygia whose water caused laughter
Geloni	Scythian people, on the Borysthenes, in the modern Ukraine
Gemoniae	steps on the Aventine Hill leading to the Tiber
Genabum	city of the Carnutes, in Gallia Lugdunensis
Genauni	Germanic people in Rhoetia, in the Val di Non
Genava	city of the Allobroges, upon Lake Leman
Gentius	king of Illyria
Genua	celebrated seaport town of Liguria
Genucilius	Roman proper name
Genusus	river of Grecian Illyria, north of Apollonia
Georgi	name of a Sarmatian people, near the Crimea
Georgos	title of a comedy by Menander
Gepidae	Gothic tribe in Scythia, Jornand de Reb
Geraesticus	harbor near the town of Teos, in Ionia
Geraestus	principal town of Euboea
Gergovia	town of the Arverni, in Aquitanian Gaul
Germalus	depression in the Palatine Hill, towards the Tiber
Germani	Germans, between the Rhine, the Danube, the Vistula
Geronium	small city or fortress in Appulia
Gerontodidasculus	title of one of the satires of Varro
Geryon	mythic king in Spain having three bodies
Gessius	Roman family name
Getae	Thracian tribe on the Danube, bordering on the Dacians
Gigantomachia	battle of the giants
Gigas	giant
Gillo2	name of a legacyhunter
Gitanae	city of Epirus, near Corcyra
Glabrio	surname in the gens Acilia
Glaesaria	amber island in the North Sea
Glauce	mother of the third Diana
Glaucia	Roman surname in the gens Servilia and Mallia
Glaucus	Greek proper name
Glycera	Greek female name
Glycerium	name of a female character in the Andria of Terence
Glycon	Greek proper name
Glyconius	Glyconic
Gnatho	parasite in the Eunuchus of Terence
Gneus	Roman praenomen
Gnidus	Doric city in Caria
Gnipho	Roman surname
Gnostici	Gnostics
Gnosus	ancient capital of Crete, the residence of Minos
Golgoe	town of Cyprus, famous for the worship of Aphrodite
Gomorra	city of Gomorrha, in Palestine
Gomphi	town of Thessaly on the Peneus, now Kalabaki
Gonni	town of Thessaly near the Vale of Tempe
Gonnocondylum	town of Thessaly
Gordianus	Roman proper name
Gordium	city of Phrygia Major on the Sangarius
Gordius	king of Gordium, in Phrygia Major
Gordiutichos	town of Phrygia Major
Gordueni	people of Armenia, the modern Kurds
Gorge	daughter of Oeneus
Gorgias	famous Greek sophist of Leontini, a contemporary of Socrates
Gorgo	daughter of Phorcus, called Medusa
Gorgobina	city on the borders of Aquitania
Gorgonidonii	Gorgon-fields
Gortyna	important and very ancient city of Crete
Gothi	Goths, the great tribe of Northern Germany
Gothini	Celtic tribe that inhabited the region about the modern Cracow
Gracchus	Roman family name in the gens Sempronia
Gradivicola	worshipper of Mars
Gradivus	surname of Mars
Graea	ancient town in Boeotia, near Oropus
Graeae	daughters of Phorcus
Graeci	Grecians, Greeks
Graecigena	Greek by birth
Graecitas	Greek, the Greek language
Graecostasis	building in Rome, near the Curia and Comitium
Graii	Grecians, Greeks
Graioceli	Gallic tribe in the valleys of Mont Cenis
Grajugena	Grecian by birth, a Greek
Granicus	small river in Mysia
Granius	Roman family name
Grannus	surname of Apollo in several Germanic, Dacian
Gratianopolis	city in Gallia Narbonensis, now Grenoble in Dauphine
Gratidius	Roman family name
Gratius	Roman family name
Graupius	mountain in the north of Britain
Graviscae	small town of Etruria
Grinnes	place in Gallia Belgica
Grosphus2	Roman surname
Grudii	people of Gallia Belgica, now Groede or Gronde
